Element 44	0.470847	1.58181	2.0242	0.093303	0.452831	7.11489	0.00197036	0.626913	0.102641	0.00756182	1.254	0.133786
Element 45	0.420052	1.76267	2.02736	0.0938883	0.464442	8.19346	0.00145487	0.62281	0.099153	0.00782705	1.17194	0.124533
Element 46	2.10475	2.03884	0.182067	8.68606	0.378924	0.142922	0.0952041	0.591445	0.00113329	0.117126	1.07844	0.00780252
Element 47	2.07981	0.443171	1.96515	9.9254	0.10492	0.640104	0.596131	0.478016	0.0946459	0.889595	1.98509	0.112744
Element 48	1.63658	2.17928	0.771301	12.454	1.45135	0.126696	0.664194	0.764563	0.0861127	0.777659	1.66075	0.105728
Element 49	2.24821	1.64707	0.788679	1.51914	13.0113	0.106128	0.0812579	0.66828	0.638467	0.0994046	1.49742	0.718423
Element 5	0.125716	0.173314	0.184775	0.148259	0.148257	3.34227	0.19525	0.529642	0.0010823	1.97339	5.70036	0.0564857
Element 50	2.16645	0.688691	1.92432	11.3175	0.110131	0.674465	0.56536	0.918684	0.0780542	0.733565	10.231	0.0931104
Element 51	1.73662	0.999871	2.13972	0.884335	0.138462	11.9666	0.560567	0.993773	0.0737375	0.672673	8.7233	0.0878578
Element 52	2.09384	1.56941	1.30942	12.6857	1.21237	0.166633	0.0698068	1.0497	0.555594	0.0830818	7.43148	0.617488
Element 53	1.60187	1.9851	1.48226	0.195032	13.6976	1.80305	0.553807	1.11729	0.0660721	0.567912	6.4088	0.0786615
Element 54	1.60015	1.71645	1.84968	2.92913	15.5883	0.222526	0.0623814	1.21388	0.554052	0.0745581	5.56013	0.521995
Element 55	2.95237	0.428106	1.89599	6.01462	46.4151	0.18011	0.0548013	4.70839	0.590357	0.07128	45.6703	0.470236
Element 56	3.19434	1.9829	0.155121	9.27352	0.228742	0.0382	0.0673222	4.48474	0.542674	0.0730962	29.5704	0.408647
Element 57	2.05036	0.142114	3.23538	0.220348	0.0396438	9.56979	0.0634683	3.97961	0.520117	0.0692443	25.3178	0.383614
